uid,sex,group,age,mort_age,mort_tte,dFI
swiss-0924,F,RD,78,107.143,29.143,2.131
swiss-0925,F,RD,78,147.143,69.143,1.235
swiss-0926,F,RD,78,163.571,85.571,0.944
swiss-0927,F,RD,78,93.143,15.143,8.225
swiss-0929,F,RD,78,141.143,63.143,1.298
swiss-0930,F,RD,78,119.429,41.429,3.016
swiss-0931,F,RD,78,103.000,25.000,1.201
swiss-0932,F,RD,78,131.429,53.429,0.957
swiss-0933,F,RD,78,82.429,4.429,2.234
swiss-0934,F,RD,78,83.143,5.143,4.782
swiss-0935,F,RD,78,105.143,27.143,1.943
swiss-0936,F,RD,78,97.143,19.143,2.461
swiss-0937,F,RD,78,90.429,12.429,0.958
swiss-0955,F,HFD,78,94.286,16.286,2.379
swiss-0956,F,HFD,78,107.143,29.143,1.875
swiss-0958,F,HFD,78,107.143,29.143,1.904
swiss-0959,F,HFD,78,118.429,40.429,2.910
swiss-0963,F,HFD,78,122.286,44.286,2.568
swiss-0966,F,HFD,78,140.571,62.571,1.769
swiss-0967,F,HFD,78,153.571,75.571,2.271
swiss-0968,F,HFD,78,111.143,33.143,3.135
swiss-0924,F,RD,104,107.143,3.143,4.517
swiss-0925,F,RD,104,147.143,43.143,-0.864
swiss-0926,F,RD,104,163.571,59.571,0.533
swiss-0927,F,RD,104,93.143,-10.857,
swiss-0929,F,RD,104,141.143,37.143,0.901
swiss-0930,F,RD,104,119.429,15.429,2.808
swiss-0931,F,RD,104,103.000,-1.000,
swiss-0932,F,RD,104,131.429,27.429,0.215
swiss-0933,F,RD,104,82.429,-21.571,
swiss-0934,F,RD,104,83.143,-20.857,
swiss-0935,F,RD,104,105.143,1.143,4.130
swiss-0936,F,RD,104,97.143,-6.857,
swiss-0937,F,RD,104,90.429,-13.571,
swiss-0955,F,HFD,104,94.286,-9.714,
swiss-0956,F,HFD,104,107.143,3.143,1.823
swiss-0958,F,HFD,104,107.143,3.143,4.426
swiss-0959,F,HFD,104,118.429,14.429,6.601
swiss-0963,F,HFD,104,122.286,18.286,3.641
swiss-0966,F,HFD,104,140.571,36.571,-0.119
swiss-0967,F,HFD,104,153.571,49.571,0.578
swiss-0968,F,HFD,104,111.143,7.143,3.929
swiss-0850,M,RD,78,97.429,19.429,2.405
swiss-0852,M,RD,78,131.429,53.429,2.167
swiss-0853,M,RD,78,149.571,71.571,2.956
swiss-0854,M,RD,78,129.857,51.857,2.926
swiss-0856,M,RD,78,82.571,4.571,7.495
swiss-0857,M,RD,78,97.143,19.143,1.441
swiss-0858,M,RD,78,118.143,40.143,1.749
swiss-0859,M,RD,78,104.286,26.286,2.282
swiss-0860,M,RD,78,115.286,37.286,3.564
swiss-0870,M,HFD,78,114.571,36.571,4.278
swiss-0871,M,HFD,78,107.143,29.143,1.329
swiss-0873,M,HFD,78,125.571,47.571,7.352
swiss-1096,M,HFD,78,95.286,17.286,4.238
swiss-1097,M,HFD,78,98.286,20.286,2.373
swiss-1098,M,HFD,78,88.143,10.143,7.250
swiss-1099,M,HFD,78,97.429,19.429,3.366
swiss-0850,M,RD,104,97.429,-6.571,
swiss-0852,M,RD,104,131.429,27.429,4.574
swiss-0853,M,RD,104,149.571,45.571,6.199
swiss-0854,M,RD,104,129.857,25.857,3.171
swiss-0856,M,RD,104,82.571,-21.429,
swiss-0857,M,RD,104,97.143,-6.857,
swiss-0858,M,RD,104,118.143,14.143,3.054
swiss-0859,M,RD,104,104.286,0.286,1.493
swiss-0860,M,RD,104,115.286,11.286,2.217
swiss-0870,M,HFD,104,114.571,10.571,3.781
swiss-0871,M,HFD,104,107.143,3.143,-0.283
swiss-0873,M,HFD,104,125.571,21.571,4.375
swiss-1096,M,HFD,104,95.286,-8.714,
swiss-1097,M,HFD,104,98.286,-5.714,
swiss-1098,M,HFD,104,88.143,-15.857,
swiss-1099,M,HFD,104,97.429,-6.571,
