uid,age,sex,strain,label,mort_tte,mort_event,mort_age,lifespan,gr %,gr (k/ul),hb (g/dl),hct %,ly %,ly (k/ul),mch (pg),mchc (g/dl),mcv(fl),plt (k/ul),rbc (m/ul),wbc (k/ul),igf1,bw,dFI
ccf1f01,7,F,129s1/svimj,CGDpheno3,,,,111.429,14.900,1.664,16.000,47.300,84.400,9.427,16.200,33.800,47.800,771.000,9.890,11.170,,,-0.904
ccf1f02,7,F,129s1/svimj,CGDpheno3,,,,111.429,17.200,2.208,16.500,49.700,81.400,10.452,15.800,33.200,47.600,643.000,10.430,12.840,,,-1.438
ccf1f03,7,F,129s1/svimj,CGDpheno3,,,,111.429,20.300,1.963,15.400,46.400,78.200,7.562,15.700,33.200,47.400,762.000,9.790,9.670,,,-0.383
ccf1f04,7,F,129s1/svimj,CGDpheno3,,,,111.429,8.400,0.827,16.200,49.200,90.400,8.895,15.900,33.000,48.100,923.000,10.220,9.840,,,-1.923
ccf1f05,7,F,129s1/svimj,CGDpheno3,,,,111.429,9.500,0.978,17.100,51.100,89.300,9.189,15.900,33.400,47.800,783.000,10.700,10.290,,,-2.543
ccf1m01,7,M,129s1/svimj,CGDpheno3,,,,125.571,13.600,1.210,16.400,50.000,85.100,7.574,15.600,32.700,47.500,791.000,10.510,8.900,,,-1.917
ccf1m02,7,M,129s1/svimj,CGDpheno3,,,,125.571,13.500,1.048,17.000,52.300,84.900,6.588,15.900,32.400,48.900,917.000,10.690,7.760,,,-2.022
ccf1m03,7,M,129s1/svimj,CGDpheno3,,,,125.571,17.800,1.292,16.300,49.900,81.200,5.895,15.500,32.600,47.400,862.000,10.510,7.260,,,-1.667
ccf1m04,7,M,129s1/svimj,CGDpheno3,,,,125.571,15.300,1.460,16.400,49.400,83.000,7.918,15.500,33.300,46.600,876.000,10.600,9.540,,,-1.870
ccf1m05,7,M,129s1/svimj,CGDpheno3,,,,125.571,9.600,0.732,15.400,47.000,89.400,6.812,15.900,32.700,48.700,1089.000,9.650,7.620,,,-1.171
caf1f01,7,F,129saf1,CGDpheno3,,,,,14.100,1.431,16.700,54.300,84.700,8.597,15.800,30.700,51.500,1231.000,10.550,10.150,,,-1.260
caf1f02,7,F,129saf1,CGDpheno3,,,,,17.100,1.206,15.800,48.400,82.200,5.795,16.400,32.700,50.100,983.000,9.660,7.050,,,-0.728
caf1f03,7,F,129saf1,CGDpheno3,,,,,13.600,0.945,15.400,46.700,84.900,5.901,16.100,33.100,48.600,1055.000,9.590,6.950,,,-0.940
caf1f04,7,F,129saf1,CGDpheno3,,,,,13.300,1.389,15.000,44.600,85.500,8.926,15.900,33.500,47.400,1009.000,9.410,10.440,,,-0.568
caf1f05,7,F,129saf1,CGDpheno3,,,,,15.500,0.721,16.800,43.800,83.400,3.878,18.600,38.300,48.700,2297.000,9.010,4.650,,,-0.391
caf1m01,7,M,129saf1,CGDpheno3,,,,,12.000,1.022,15.100,45.400,87.100,7.421,15.800,33.100,47.700,1136.000,9.540,8.520,,,-0.854
caf1m02,7,M,129saf1,CGDpheno3,,,,,16.400,1.292,15.800,48.100,82.000,6.462,15.800,32.900,48.100,1071.000,10.000,7.880,,,-0.977
caf1m03,7,M,129saf1,CGDpheno3,,,,,13.600,0.957,15.200,44.700,85.100,5.991,16.100,33.900,47.500,1189.000,9.420,7.040,,,-0.887
caf1m04,7,M,129saf1,CGDpheno3,,,,,16.000,1.213,16.200,49.900,82.500,6.253,16.000,32.500,49.200,1199.000,10.150,7.580,,,-1.024
caf1m05,7,M,129saf1,CGDpheno3,,,,,14.700,1.269,15.000,46.500,84.000,7.249,15.600,32.300,48.300,1082.000,9.620,8.630,,,-0.627
cbf1f01,7,F,129sb6f1,CGDpheno3,,,,,14.200,1.278,15.500,46.700,84.800,7.632,15.900,33.200,48.000,987.000,9.730,9.000,,,-0.854
cbf1f02,7,F,129sb6f1,CGDpheno3,,,,,11.800,0.977,15.800,48.100,87.300,7.228,16.100,32.900,48.900,879.000,9.840,8.280,,,-1.145
cbf1f03,7,F,129sb6f1,CGDpheno3,,,,,11.100,0.837,16.300,50.700,87.700,6.613,16.200,32.100,50.600,982.000,10.020,7.540,,,-1.237
cbf1f04,7,F,129sb6f1,CGDpheno3,,,,,9.600,0.671,15.500,45.600,89.500,6.256,16.100,33.900,47.600,994.000,9.590,6.990,,,-1.400
cbf1f05,7,F,129sb6f1,CGDpheno3,,,,,9.300,0.504,15.700,47.500,89.900,4.873,15.600,33.100,47.000,955.000,10.090,5.420,,,-2.032
cbf1m01,7,M,129sb6f1,CGDpheno3,,,,,30.800,3.678,16.300,52.700,66.000,7.880,16.300,30.900,52.600,1277.000,10.020,11.940,,,0.467
cbf1m02,7,M,129sb6f1,CGDpheno3,,,,,27.800,2.652,15.600,47.000,69.000,6.583,16.100,33.100,48.600,1301.000,9.660,9.540,,,0.498
cbf1m03,7,M,129sb6f1,CGDpheno3,,,,,21.500,1.746,15.200,45.500,76.100,6.179,15.700,33.400,46.800,1230.000,9.710,8.120,,,-0.091
