uid,age,group,bw
5,-0.286,Control,47.500
5,0.000,Control,43.900
5,1.000,Control,39.600
5,2.000,Control,38.000
5,3.000,Control,38.000
5,3.429,Control,39.500
5,4.000,Control,40.400
5,5.000,Control,39.800
5,6.000,Control,41.700
5,7.000,Control,41.800
5,8.000,Control,43.100
5,9.000,Control,42.500
5,10.000,Control,44.500
5,11.000,Control,44.400
6,-0.286,Control,34.300
6,0.000,Control,33.100
6,1.000,Control,32.500
6,2.000,Control,32.100
6,3.000,Control,32.300
6,3.429,Control,33.800
6,4.000,Control,33.000
6,5.000,Control,32.900
6,6.000,Control,32.900
6,7.000,Control,33.500
6,8.000,Control,32.200
6,9.000,Control,33.300
6,10.000,Control,33.600
6,11.000,Control,32.600
14,-0.286,Control,47.400
14,0.000,Control,45.100
14,1.000,Control,40.900
14,2.000,Control,39.200
14,3.000,Control,37.600
14,3.429,Control,38.200
14,4.000,Control,39.000
14,5.000,Control,40.000
14,6.000,Control,40.500
14,7.000,Control,41.200
14,8.000,Control,42.500
14,9.000,Control,43.500
14,10.000,Control,45.400
14,11.000,Control,44.900
15,-0.286,Control,48.300
15,0.000,Control,45.300
15,1.000,Control,41.200
15,2.000,Control,39.700
15,3.000,Control,39.200
15,3.429,Control,40.900
15,4.000,Control,41.400
15,5.000,Control,39.900
15,6.000,Control,40.300
15,7.000,Control,40.100
15,8.000,Control,43.500
15,9.000,Control,43.300
15,10.000,Control,44.900
15,11.000,Control,45.000
16,-0.286,Control,50.000
16,0.000,Control,46.000
16,1.000,Control,42.300
16,2.000,Control,42.100
16,3.000,Control,40.200
16,3.429,Control,39.800
16,4.000,Control,40.400
16,5.000,Control,38.800
16,6.000,Control,38.300
16,7.000,Control,40.100
16,8.000,Control,41.800
16,9.000,Control,42.300
16,10.000,Control,43.300
16,11.000,Control,44.000
24,-0.286,Control,45.700
24,0.000,Control,42.300
24,1.000,Control,39.100
24,2.000,Control,38.800
24,3.000,Control,39.400
24,3.429,Control,40.600
24,4.000,Control,42.900
24,5.000,Control,41.200
24,6.000,Control,43.000
24,7.000,Control,45.300
24,8.000,Control,45.200
24,9.000,Control,45.400
24,10.000,Control,46.800
24,11.000,Control,46.000
32,-0.286,Control,36.400
32,0.000,Control,34.100
32,1.000,Control,33.700
32,2.000,Control,33.700
32,3.000,Control,32.200
32,3.429,Control,33.400
32,4.000,Control,33.600
32,5.000,Control,33.600
32,6.000,Control,34.300
32,7.000,Control,35.100
32,8.000,Control,35.200
32,9.000,Control,35.300
32,10.000,Control,36.600
32,11.000,Control,35.800
41,-0.286,Control,34.800
41,0.000,Control,33.900
41,1.000,Control,33.700
41,2.000,Control,33.800
41,3.000,Control,33.300
41,3.429,Control,34.600
41,4.000,Control,34.700
41,5.000,Control,33.800
41,6.000,Control,34.600
41,7.000,Control,35.000
41,8.000,Control,35.000
41,9.000,Control,35.400
41,10.000,Control,37.200
41,11.000,Control,35.300
54,-0.286,Control,52.700
54,0.000,Control,50.000
54,1.000,Control,42.500
54,2.000,Control,40.300
54,3.000,Control,39.500
54,3.429,Control,40.200
54,4.000,Control,40.800
54,5.000,Control,40.500
54,6.000,Control,41.100
54,7.000,Control,42.100
54,8.000,Control,42.700
54,9.000,Control,42.800
54,10.000,Control,44.500
54,11.000,Control,44.000
89,-0.286,Control,41.300
89,0.000,Control,38.400
89,1.000,Control,37.300
89,2.000,Control,35.800
89,3.000,Control,35.500
89,3.429,Control,35.500
89,4.000,Control,37.400
89,5.000,Control,37.400
89,6.000,Control,38.200
89,7.000,Control,38.800
89,8.000,Control,39.500
89,9.000,Control,41.000
89,10.000,Control,41.800
89,11.000,Control,41.000
94,-0.286,Control,42.400
94,0.000,Control,40.100
94,1.000,Control,36.400
94,2.000,Control,35.100
94,3.000,Control,33.500
94,3.429,Control,34.800
94,4.000,Control,35.100
94,5.000,Control,35.700
94,6.000,Control,36.100
94,7.000,Control,36.100
94,8.000,Control,36.700
94,9.000,Control,36.600
94,10.000,Control,37.600
94,11.000,Control,36.600
99,-0.286,Control,47.600
99,0.000,Control,44.500
99,1.000,Control,40.200
99,2.000,Control,38.300
99,3.000,Control,37.700
99,3.429,Control,37.100
99,4.000,Control,37.300
99,5.000,Control,38.100
99,6.000,Control,37.400
99,7.000,Control,37.600
99,8.000,Control,37.000
99,9.000,Control,37.400
99,10.000,Control,37.300
99,11.000,Control,35.100
35,-0.286,Rapamycin,35.300
35,0.000,Rapamycin,32.800
35,1.000,Rapamycin,32.200
35,2.000,Rapamycin,30.900
35,3.000,Rapamycin,31.000
35,3.429,Rapamycin,31.400
35,4.000,Rapamycin,32.100
35,5.000,Rapamycin,31.500
35,6.000,Rapamycin,30.500
35,7.000,Rapamycin,31.400
35,8.000,Rapamycin,31.300
35,9.000,Rapamycin,31.100
35,10.000,Rapamycin,31.600
35,11.000,Rapamycin,32.100
39,-0.286,Rapamycin,42.700
39,0.000,Rapamycin,40.600
39,1.000,Rapamycin,38.600
39,2.000,Rapamycin,37.200
39,3.000,Rapamycin,35.700
39,3.429,Rapamycin,36.000
39,4.000,Rapamycin,36.000
39,5.000,Rapamycin,34.900
39,6.000,Rapamycin,33.900
39,7.000,Rapamycin,34.400
39,8.000,Rapamycin,34.700
39,9.000,Rapamycin,35.600
39,10.000,Rapamycin,36.100
39,11.000,Rapamycin,36.400
46,-0.286,Rapamycin,43.300
46,0.000,Rapamycin,39.900
46,1.000,Rapamycin,38.000
46,2.000,Rapamycin,36.400
46,3.000,Rapamycin,35.300
46,3.429,Rapamycin,35.500
46,4.000,Rapamycin,35.900
46,5.000,Rapamycin,34.200
46,6.000,Rapamycin,34.700
46,7.000,Rapamycin,35.900
46,8.000,Rapamycin,36.000
46,9.000,Rapamycin,36.800
46,10.000,Rapamycin,37.000
46,11.000,Rapamycin,37.600
52,-0.286,Rapamycin,41.300
52,0.000,Rapamycin,38.500
52,1.000,Rapamycin,37.300
52,2.000,Rapamycin,36.100
52,3.000,Rapamycin,35.900
52,3.429,Rapamycin,36.700
52,4.000,Rapamycin,36.900
52,5.000,Rapamycin,36.200
52,6.000,Rapamycin,36.000
52,7.000,Rapamycin,36.300
52,8.000,Rapamycin,36.200
52,9.000,Rapamycin,36.900
52,10.000,Rapamycin,38.500
52,11.000,Rapamycin,38.000
56,-0.286,Rapamycin,33.900
56,0.000,Rapamycin,32.600
56,1.000,Rapamycin,33.000
56,2.000,Rapamycin,31.900
56,3.000,Rapamycin,31.300
56,3.429,Rapamycin,31.200
56,4.000,Rapamycin,31.300
56,5.000,Rapamycin,30.400
56,6.000,Rapamycin,30.200
56,7.000,Rapamycin,30.400
56,8.000,Rapamycin,30.000
56,9.000,Rapamycin,30.200
56,10.000,Rapamycin,30.400
56,11.000,Rapamycin,30.700
59,-0.286,Rapamycin,39.500
59,0.000,Rapamycin,37.300
59,1.000,Rapamycin,35.900
59,2.000,Rapamycin,35.500
59,3.000,Rapamycin,34.100
59,3.429,Rapamycin,34.200
59,4.000,Rapamycin,35.800
59,5.000,Rapamycin,34.300
59,6.000,Rapamycin,32.900
59,7.000,Rapamycin,34.700
59,8.000,Rapamycin,34.300
59,9.000,Rapamycin,35.400
59,10.000,Rapamycin,35.700
59,11.000,Rapamycin,35.600
63,-0.286,Rapamycin,35.900
63,0.000,Rapamycin,34.100
